hyperparameters,test1,test2,test3,test4
loss,0.0905059352517128,0.08898517489433289,0.12710103392601013,0.12671685218811035
loss_data,0.008975601755082607,0.008878400549292564,0.008711130358278751,0.0090071065351367
loss_pde_raw,3.216103505110368e-05,0.00010659628605935723,2.7035548555431888e-05,7.295086106751114e-05
lambda_pde,1.3247841596603394,1.8569178581237793,1.2360186576843262,2.0202903747558594
mask_pde,23.219587326049805,1.8569178581237793,22.34929084777832,2.0202903747558594
loss_pde_weighted,0.0007467659888789058,0.00019794054969679564,0.0006042253226041794,0.00014738192840013653
l1,3.5012753009796143,3.6023178100585938,3.928804397583008,3.7635622024536133
loss_tv_raw,0.07831986248493195,0.0807599127292633,0.06849174946546555,0.0648116022348404
lambda_tv,0.6022209525108337,0.5919460654258728,0.5750401020050049,0.56314617395401
mask_tv,4.0194605389842764e-05,3.994788494310342e-05,0.5750401020050049,0.56314617395401
loss_tv_weighted,3.1480360576097155e-06,3.226187800464686e-06,0.03938550129532814,0.036498405039310455
feature_names,"['u', 'u_x', 'u_xx']","['u', 'u_x', 'u_xx']","['u', 'u_x', 'u_xx']","['u', 'u_x', 'u_xx']"
feature_scales,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]"
mask_pde_source,"def pde_mask_1(lam):
    return 40 * (1 / (1 + torch.exp(-(lam-1))))
","def pde_mask_2(lam):
    return lam
","def pde_mask_3(lam):
    return 40 * (1 / (1 + torch.exp(-(lam-1))))
","def pde_mask_4(lam):
    return lam
"
mask_tv_source,"def tv_mask_1(lam):
    return 1e-8 + 1e-4 * (1 / (1 + torch.exp(-(lam-1))))
","def tv_mask_2(lam):
    return 1e-8 + 1e-4 * (1 / (1 + torch.exp(-(lam-1))))
","def tv_mask_3(lam):
    return lam
","def tv_mask_4(lam):
    return lam
"
learned_coeffs,"[0.02107143960893154, -0.014267181977629662, 0.07973532378673553, -0.6193426251411438]","[0.028795989230275154, -0.006833592429757118, 0.07825486361980438, 0.8597462773323059]","[0.06847231090068817, -0.06597254425287247, 0.06386689841747284, 0.651081383228302]","[0.06204241141676903, -0.043459899723529816, 0.06551848351955414, -0.7154515385627747]"
correct_coeffs,"[0.0, 0.0, 0.02, -1.0]","[0.0, 0.0, 0.02, -1.0]","[0.0, 0.0, 0.02, -1.0]","[0.0, 0.0, 0.02, -1.0]"
coeff_error,0.38615528481572997,1.8608938046454928,1.6543986438507285,0.29795600840828657
