hyperparameters,test1,test2,test3,test4
loss,0.07993093878030777,0.08592897653579712,0.12885558605194092,0.11805130541324615
loss_data,0.007955064065754414,0.008575093001127243,0.009624349884688854,0.008605736307799816
loss_pde_raw,1.5648409316781908e-05,9.98411705950275e-05,3.3145475754281506e-05,8.341788634425029e-05
lambda_pde,1.4061343669891357,1.7393743991851807,1.273473858833313,1.8065276145935059
mask_pde,24.006423950195312,1.7393743991851807,22.71782112121582,1.8065276145935059
loss_pde_weighted,0.00037566234823316336,0.00017366117390338331,0.0007529929862357676,0.00015069670917000622
l1,3.397090196609497,3.6786341667175293,4.286154270172119,3.991562604904175
loss_tv_raw,0.11332111805677414,0.1091221496462822,0.05670963600277901,0.05744494870305061
lambda_tv,0.631129264831543,0.6035293936729431,0.5617931485176086,0.5543262958526611
mask_tv,4.0891391108743846e-05,4.022605935460888e-05,0.5617931485176086,0.5543262958526611
loss_tv_weighted,4.633858225133736e-06,4.38955385106965e-06,0.03185908496379852,0.03184324502944946
feature_names,"['u', 'u_x', 'u_xx']","['u', 'u_x', 'u_xx']","['u', 'u_x', 'u_xx']","['u', 'u_x', 'u_xx']"
feature_scales,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]"
mask_pde_source,"def pde_mask_1(lam):
    return 40 * (1 / (1 + torch.exp(-(lam-1))))
","def pde_mask_2(lam):
    return lam
","def pde_mask_3(lam):
    return 40 * (1 / (1 + torch.exp(-(lam-1))))
","def pde_mask_4(lam):
    return lam
"
mask_tv_source,"def tv_mask_1(lam):
    return 1e-8 + 1e-4 * (1 / (1 + torch.exp(-(lam-1))))
","def tv_mask_2(lam):
    return 1e-8 + 1e-4 * (1 / (1 + torch.exp(-(lam-1))))
","def tv_mask_3(lam):
    return lam
","def tv_mask_4(lam):
    return lam
"
learned_coeffs,"[0.02735994942486286, -0.01718108355998993, 0.07965642213821411, -0.8179647326469421]","[0.03131478652358055, -0.012191366404294968, 0.0766710638999939, 0.5561413168907166]","[0.08072088658809662, -0.12710200250148773, 0.1024923250079155, 0.5926888585090637]","[0.0774984285235405, -0.10745128244161606, 0.10463584959506989, -0.7537033557891846]"
correct_coeffs,"[0.0, 0.0, 0.02, -1.0]","[0.0, 0.0, 0.02, -1.0]","[0.0, 0.0, 0.02, -1.0]","[0.0, 0.0, 0.02, -1.0]"
coeff_error,0.19426652755289178,1.557535441936315,1.6019155921195012,0.2921935120911389
