epoch,total_loss,data_loss,pde_loss,tv_loss,param_l1_loss,l1_data_loss,l1_pde_loss,sparse_eql_loss,raw_data_mse,weighted_data_contribution,raw_pde_mse,weighted_pde_contribution,tv_loss_weighted,sparse_eql_loss_weighted
0,0.1305352970957756,0.009095789195733174,0.12143950838418234,0.0,0.0,0.0,0.0,0.0,0.009095789195733174,0.009095789195733174,0.24287901676836468,0.12143950838418234,0.0,0.0
1,0.07254186580105433,0.014883151647472193,0.05765871342922014,0.0,0.0,0.0,0.0,0.0,0.014883151647472193,0.014883151647472193,0.11531742685844028,0.05765871342922014,0.0,0.0
2,0.055192931185639095,0.015235894995312842,0.039957036101628866,0.0,0.0,0.0,0.0,0.0,0.015235894995312842,0.015235894995312842,0.07991407220325773,0.039957036101628866,0.0,0.0
3,0.046945449319623765,0.015241580350058419,0.0317038685556442,0.0,0.0,0.0,0.0,0.0,0.015241580350058419,0.015241580350058419,0.0634077371112884,0.0317038685556442,0.0,0.0
4,0.042922200605509775,0.01552990757461105,0.027392293252642193,0.0,0.0,0.0,0.0,0.0,0.01552990757461105,0.01552990757461105,0.05478458650528439,0.027392293252642193,0.0,0.0
5,0.040502198750064486,0.01515930313025675,0.02534289551632745,0.0,0.0,0.0,0.0,0.0,0.01515930313025675,0.01515930313025675,0.0506857910326549,0.02534289551632745,0.0,0.0
6,0.039136483437485166,0.015515522114814275,0.02362096117484191,0.0,0.0,0.0,0.0,0.0,0.015515522114814275,0.015515522114814275,0.04724192234968382,0.02362096117484191,0.0,0.0
7,0.03786870080327231,0.015464358460453768,0.0224043426236936,0.0,0.0,0.0,0.0,0.0,0.015464358460453768,0.015464358460453768,0.0448086852473872,0.0224043426236936,0.0,0.0
8,0.036444912413283,0.01573420883644195,0.020710703162919907,0.0,0.0,0.0,0.0,0.0,0.01573420883644195,0.01573420883644195,0.041421406325839814,0.020710703162919907,0.0,0.0
9,0.03531578620747915,0.015673194287551775,0.019642592392980107,0.0,0.0,0.0,0.0,0.0,0.015673194287551775,0.015673194287551775,0.039285184785960214,0.019642592392980107,0.0,0.0
10,0.03425892809080699,0.01575927177651061,0.018499656003855523,0.0,0.0,0.0,0.0,0.0,0.01575927177651061,0.01575927177651061,0.03699931200771105,0.018499656003855523,0.0,0.0
11,0.033503262533081904,0.01580139435827732,0.017701867849580825,0.0,0.0,0.0,0.0,0.0,0.01580139435827732,0.01580139435827732,0.03540373569916165,0.017701867849580825,0.0,0.0
12,0.03290116928872608,0.01586899817699478,0.017032171229994487,0.0,0.0,0.0,0.0,0.0,0.01586899817699478,0.01586899817699478,0.034064342459988975,0.017032171229994487,0.0,0.0
13,0.032751836060058506,0.015841571909804193,0.016910264031991126,0.0,0.0,0.0,0.0,0.0,0.015841571909804193,0.015841571909804193,0.03382052806398225,0.016910264031991126,0.0,0.0
