epoch,total_loss,data_loss,pde_loss,tv_loss
0,0.33722819166608375,0.2818812430642619,0.055346948823126234,0.0
1,0.12171491154349677,0.07551727484505956,0.046197636772205335,0.0
2,0.0817335432413781,0.05107107854420596,0.03066246460496199,0.0
3,0.06084254015200209,0.03889048564257008,0.021952054490989976,0.0
4,0.04592458664043115,0.03194467601652193,0.013979910845213597,0.0
5,0.03809450264319335,0.028027238822219396,0.01006726401461528,0.0
6,0.03441456867621677,0.02560967749150673,0.008804890898858556,0.0
7,0.03132867650820477,0.02355268874233312,0.007775987798145207,0.0
8,0.029533420680182994,0.0223042380138494,0.0072291826801651185,0.0
9,0.028634342503282104,0.021495545559590407,0.007138796809986972,0.0
10,0.027033724204295933,0.020565411002181545,0.006468313331208606,0.0
11,0.025216218987756438,0.019109433885700633,0.006106785235760531,0.0
12,0.023396450177867813,0.017612060919256493,0.0057843892493903044,0.0
13,0.023930035328658502,0.01779125188246812,0.006138783432358857,0.0
14,0.02020151988778374,0.01515133288864157,0.005050186934595061,0.0
15,0.01851691263220688,0.013396046585449487,0.005120865890000126,0.0
16,0.015796426831200572,0.011353951574552178,0.004442475258953648,0.0
17,0.012038935704322734,0.008025150317329876,0.004013785366245573,0.0
18,0.009393278993481751,0.0059249200212704665,0.0034683589906533167,0.0
19,0.005640073056969017,0.0031115537656858415,0.002528519260162248,0.0
20,0.0031252543898391545,0.001330673218575666,0.001794581167805608,0.0
21,0.0017577624236611595,0.0006218749492678164,0.0011358874709354622,0.0
22,0.0009279993482597984,0.0003033036874413564,0.0006246956599539718,0.0
23,0.0005238720816375669,0.00016052374978766472,0.00036334833257029405,0.0
24,0.00031653735576321986,8.690359246960868e-05,0.00022963376538274755,0.0
25,0.000204418528185913,4.799971354106386e-05,0.00015641881399649647,0.0
26,0.00015130328608960338,3.139674062016512e-05,0.00011990654593769295,0.0
27,0.0001135984687670595,2.3040002365587946e-05,9.055846662659401e-05,0.0
28,8.971268597282562e-05,1.6835341955469414e-05,7.287734317089578e-05,0.0
29,7.651333632593107e-05,1.5111043079975776e-05,6.140229386729327e-05,0.0
30,6.86347406426108e-05,1.3870385112451265e-05,5.476435521498811e-05,0.0
31,6.157496300327711e-05,1.3004708937905259e-05,4.8570253939303285e-05,0.0
32,4.978338508615455e-05,1.1213063321475143e-05,3.8570321584581445e-05,0.0
33,4.173576152344041e-05,9.38514132472072e-06,3.2350620212227035e-05,0.0
34,3.857179842387916e-05,8.369137265275424e-06,3.0202660974003327e-05,0.0
35,3.266671140382002e-05,7.387889739463686e-06,2.527882144823878e-05,0.0
36,3.265285839474792e-05,7.878851949211065e-06,2.4774006450039308e-05,0.0
37,2.502230097096538e-05,5.850130973797578e-06,1.917216990711882e-05,0.0
38,2.664221259206303e-05,6.892783880859929e-06,1.9749428643666365e-05,0.0
39,2.991659209445709e-05,8.686778339396559e-06,2.1229814052222166e-05,0.0
40,1.8316702162247558e-05,5.162008054606186e-06,1.3154694186434228e-05,0.0
41,1.58500592763153e-05,4.406398309782e-06,1.1443660903499014e-05,0.0
42,2.4231303091210515e-05,6.621769110700704e-06,1.7609533930982872e-05,0.0
43,3.002384522068775e-05,1.0089745289703144e-05,1.993409974188175e-05,0.0
44,1.8400535475731237e-05,7.74021958536065e-06,1.0660316025444057e-05,0.0
45,1.106669854623148e-05,3.4046281913592477e-06,7.662070352621007e-06,0.0
46,1.1258497597556907e-05,3.3317196111695894e-06,7.926777993140991e-06,0.0
47,9.802694200903481e-06,3.091341532486731e-06,6.711352654909404e-06,0.0
48,9.503648795030716e-06,2.8618344526200805e-06,6.641814382932677e-06,0.0
49,8.820286110325343e-06,2.6605356683515733e-06,6.1597504487274435e-06,0.0
50,8.64979122498241e-06,2.5068516421951884e-06,6.1429395962945686e-06,0.0
51,2.127217822538177e-05,7.90655083547601e-06,1.3365627457442495e-05,0.0
52,1.884460103646783e-05,7.922303427789086e-06,1.0922297694225275e-05,0.0
53,9.395718401413765e-06,3.5993049717188404e-06,5.7964134161875785e-06,0.0
54,6.017687623945208e-05,2.329023876576108e-05,3.688663713150487e-05,0.0
55,3.401440533545412e-05,1.5261390433464623e-05,1.8753014856965008e-05,0.0
56,4.691588210424934e-05,2.335634554124271e-05,2.3559536761114383e-05,0.0
57,2.27605074308098e-05,1.0116386820840542e-05,1.2644120704520685e-05,0.0
58,2.1444940886236635e-05,8.669542235156318e-06,1.2775398642075419e-05,0.0
59,0.00011334163164155152,6.23035165256507e-05,5.103811488177346e-05,0.0
60,0.00021361096143736365,0.00013545825777778236,7.815270355152252e-05,0.0
61,0.00010645524349402507,5.7143963276037466e-05,4.931128007390924e-05,0.0
62,5.554178487457621e-05,2.7353985739081158e-05,2.8187799387632196e-05,0.0
63,7.349168227658155e-05,3.554490845855602e-05,3.7946773673947165e-05,0.0
64,3.3451522108182394e-05,1.6662096537528318e-05,1.678942555714673e-05,0.0
65,1.9742380762109673e-05,8.101150261510238e-06,1.1641230406048005e-05,0.0
66,1.3510438473549405e-05,6.398051716519824e-06,7.112386721009988e-06,0.0
67,7.63596535131847e-06,2.9993586309447523e-06,4.636606722624943e-06,0.0
68,1.1139192675988968e-05,4.256583105245119e-06,6.882609557236503e-06,0.0
69,1.1826757685466333e-05,5.289221232965021e-06,6.537536479516005e-06,0.0
70,1.368261747293308e-05,6.8086355400233104e-06,6.873982013953852e-06,0.0
71,0.00016926346776953964,8.958028144598477e-05,7.968318653967241e-05,0.0
72,0.00022004938659622416,0.00012235639141100265,9.76929966260052e-05,0.0
73,0.0004491287827927453,0.0002222985887495423,0.00022683019649253532,0.0
74,0.00046998147402041695,0.0002602060035990302,0.0002097754709977002,0.0
75,0.0006423445633441984,0.00039352340788562036,0.00024882114911912984,0.0
76,0.00015441174029619294,7.97905666169556e-05,7.462117412948225e-05,0.0
77,3.542053408555959e-05,1.806825061841196e-05,1.7352283183493337e-05,0.0
78,3.9598847819217896e-05,1.8117924846232163e-05,2.1480922981990632e-05,0.0
79,0.00010375831089452794,6.272511162402081e-05,4.103319885628183e-05,0.0
80,5.62700920589591e-05,2.9843090208550443e-05,2.6427001958467425e-05,0.0
81,4.064627097646411e-05,1.7472364345281892e-05,2.3173906703221398e-05,0.0
82,4.1728787446028025e-05,1.7956100768204503e-05,2.3772686623794136e-05,0.0
83,4.2186413248591724e-05,2.2633078155159087e-05,1.9553334913334676e-05,0.0
84,2.668483234223873e-05,1.292767222429854e-05,1.3757160162964679e-05,0.0
85,0.00014301808785081215,9.14639385882765e-05,5.155414963173645e-05,0.0
86,0.00016138695038066679,8.959376700118756e-05,7.179318366763597e-05,0.0
87,0.0005096514210206374,0.0002988815991413125,0.00021076981971814934,0.0
88,0.0004490387633484373,0.00022524584915793253,0.00022379291779246402,0.0
89,0.0003620731926149698,0.00019958613761401005,0.00016248705528911647,0.0
90,0.0004038265675748929,0.0002115362627537792,0.00019229030453295695,0.0
91,0.0010205178687551825,0.0005750762985092542,0.0004454415728393389,0.0
92,0.00045681870162099747,0.00023801793090885018,0.00021880077154059794,0.0
93,9.220638846930135e-05,5.237917265379893e-05,3.9827215815502415e-05,0.0
94,3.9934765238898094e-05,2.2550094444800334e-05,1.7384670776087966e-05,0.0
95,6.117126506771708e-05,3.610294494353751e-05,2.506831992607181e-05,0.0
96,0.00011291502798287345,6.057552478649644e-05,5.233950290822028e-05,0.0
97,0.0003370891061800504,0.00017687024451829125,0.0001602188589242702,0.0
98,0.000986410870843816,0.0005619097446289725,0.00042450112823194056,0.0
