dataset,seed,model,hidden_size,hidden_layers,first_omega_0,hidden_omega_0,epochs,batch_size,lr,noise_level,stride_t,stride_x,tv_type,tv_lambda,pde_lambda,data_lambda,eql_layers,u_rel_l2,u_rmse,u_max_abs,ux_rel_l2,ux_rmse,ux_max_abs,uxx_rel_l2,uxx_rmse,uxx_max_abs,uux_rel_l2,uux_rmse,uux_max_abs,eql_prod_dim,final_total_loss,final_data_loss,final_pde_loss,final_tv_loss,pde_method,feature_names,ls_method,ls_terms,ls_coeffs,pde_terms,pde_coeffs,true_pde_terms,true_pde_coeffs,ls_true_pde_terms,ls_true_pde_coeffs,ls_residual_rel_l2,ls_residual_rmse,ls_rank,ls_condition_number,ls_coeff_error_l2,ls_num_active_terms,ls_active_terms,eql_method,eql_feature_names,eql_readout_terms,eql_readout_coeffs,eql_readout_dim,eql_effective_quadratic_matrix_available,eql_effective_quadratic_matrix_error,status,error
burgers,0,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.1,1.0,1,0.36430702448694097,0.2566482642353351,0.9253721501051391,0.9131417533958477,5.142114395095509,53.99896587638582,0.9988570628439092,249.00782953846556,11883.855031307026,1.0107254868165696,2.954847989022314,66.81991403048539,2,0.07859480159707588,0.06628211934377651,0.012312682714350152,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx"", ""uu_x""]",,,,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.6959721510388952, 0.02197296728933225, 0.007266487328523207, -0.15534344947008957]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",,,176.73704472791266,0.5545104928010075,4,13.434236225843799,1.0946744752472386,4,u|u_x|u_xx|uu_x,,,,,,,,1,
burgers,1,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.1,1.0,1,0.03444533093859217,0.02426616508109154,0.24175836846921905,0.24749224381466148,1.393686604364668,46.34028888096121,0.6124823496897568,152.687412644044,11801.091383750721,0.33651295178268464,0.9837929604277268,62.16334729140306,2,0.001489680522066163,0.0005815952433051892,0.0009080852776083468,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx"", ""uu_x""]",,,,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.05440273139604717, 0.013824437654949494, 0.013749093357275997, -0.9244411952854078]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",,,84.44242111294994,0.34394680071426786,4,221.3790219335081,0.09420170343855515,4,u|u_x|u_xx|uu_x,,,,,,,,1,
burgers,2,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.1,1.0,1,0.1454614547728883,0.10247518541039473,0.6261716119784657,0.5890280091098764,3.316954233550785,46.20847291101721,0.9174120780985083,228.70418487032444,11873.39295058994,,,,2,0.01682526638528498,0.010684810422065824,0.006140455898672047,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx""]",least_squares,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.596081316644721, -0.017132487884653824, 0.0026390077669279574, -0.17426620217573494]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.596081316644721, -0.017132487884653824, 0.0026390077669279574, -0.17426620217573494]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",173.86851058591424,0.47501668732779956,4,125.36701932577867,1.018575940845827,4,u|u_x|u_xx|uu_x,eql,"[""u"", ""u_x"", ""u_xx""]","[""u"", ""u_x"", ""u_xx"", ""prod_0""]","[-0.3858884572982788, -0.015215963125228882, -0.0013651110930368304, 0.23959366977214813]",4,True,,1,
burgers,0,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.3,1.0,1,0.48314426746248396,0.340367133447749,1.1432423840878456,0.9293340446788608,5.233296967556267,55.694315092847,0.9994210163907118,249.14841907211712,11879.64981156139,0.9816045998336249,2.869713305606819,62.70166723673845,2,0.14321500712102003,0.11674858954283271,0.026466417817933723,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx"", ""uu_x""]",,,,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.42848078470345163, -0.017694765907553797, -0.003976766034233709, -0.11395658907942022]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",,,267.199946224319,0.5214053397008068,4,12.474852633675948,0.9844679596742395,4,u|u_x|u_xx|uu_x,,,,,,,,1,
burgers,1,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.3,1.0,1,0.07096448908206877,0.04999330707638662,0.40276532332147796,0.44107905209154974,2.4838191164738306,45.96379679788855,0.8175212740880958,203.80213109031135,11790.001303489491,0.5740548295122381,1.6782447664551914,61.67868654673601,2,0.004340087487777271,0.0025585943182911907,0.0017814932328805622,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx"", ""uu_x""]",,,,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0702210299427135, 0.014729015251096492, 0.019264919553282876, -0.9080352695003835]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",,,75.47770476046873,0.3023948512845597,4,142.35858547660828,0.11700977449204146,4,u|u_x|u_xx|uu_x,,,,,,,,1,
burgers,2,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.3,1.0,1,0.2526555849365488,0.17799167450764575,0.8038810231586616,0.8403834252818428,4.7323952633541735,50.28942823757437,0.9906841677590008,246.9703860024061,11844.431803520009,,,,2,0.03794467427057795,0.0328202464129075,0.005124427889944008,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx""]",least_squares,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.7760504359163992, 0.00557840491191184, -0.0027888977099729804, -0.12317740225150373]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.7760504359163992, 0.00557840491191184, -0.0027888977099729804, -0.12317740225150373]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",134.2881354424788,0.46403255183633657,4,35.35675992780024,1.1710110253599033,4,u|u_x|u_xx|uu_x,eql,"[""u"", ""u_x"", ""u_xx""]","[""u"", ""u_x"", ""u_xx"", ""prod_0""]","[-0.625983715057373, 0.0028330266941338778, -0.02844732441008091, 0.2639378607273102]",4,True,,1,
burgers,0,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.5,1.0,1,0.585569345154813,0.41252390407528844,1.2689640749199758,0.9454131162067659,5.323841973143772,56.58251621036256,0.9994961897762021,249.1671592525256,11878.751236136242,0.9860581684768714,2.88273327840964,61.35012220089937,2,0.21402591304613813,0.1720871122756807,0.041938801471254616,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx"", ""uu_x""]",,,,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.31637995904323946, -0.02946236660475591, -0.0037168178549971884, -0.23018672663668163]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",,,303.13956576243237,0.5230661609749628,4,15.756044369302446,0.8329255287650686,4,u|u_x|u_xx|uu_x,,,,,,,,1,
burgers,1,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.5,1.0,1,0.11223192215943069,0.0790655301104293,0.5260967728981842,0.5753535379731055,3.2399500941428414,46.60803652157095,0.9090514119522203,226.6199313689722,11821.051539237782,0.7310812368755052,2.137310229899822,62.54123310988451,2,0.008691297558200832,0.006418398770476037,0.00227289880847208,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx"", ""uu_x""]",,,,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.008546117773856703, 0.024016887401267978, 0.024222965858012195, -0.8422859184986778]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",,,68.17520592499837,0.2527368103335229,4,98.24975572699795,0.1603928653994737,4,u|u_x|u_xx|uu_x,,,,,,,,1,
burgers,2,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.5,1.0,1,0.31198244044833656,0.21978646150381762,0.9625352078277682,0.9090444087047671,5.119041290575514,52.28387798576082,0.9996714148161606,249.21084158556798,11859.618861015126,,,,2,0.05250777842679826,0.04844164177037702,0.0040661365803478676,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx""]",least_squares,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-1.062729477535849, -0.013083571550435151, -0.026839508239746408, -0.1375735633473714]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-1.062729477535849, -0.013083571550435151, -0.026839508239746408, -0.1375735633473714]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",87.8846459843711,0.4143023627849965,4,21.53626542051465,1.3691974402082523,4,u|u_x|u_xx|uu_x,eql,"[""u"", ""u_x"", ""u_xx""]","[""u"", ""u_x"", ""u_xx"", ""prod_0""]","[-0.7550249099731445, -0.06457880139350891, -0.04895758628845215, 0.27189067006111145]",4,True,,1,
burgers,0,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.7,1.0,1,0.6539299739352966,0.4606828347005093,1.341159931941494,0.955311693497066,5.3795831727835095,56.91453780441011,0.9994051906585064,249.14447383172796,11872.850331599995,,,,2,0.266054103870203,0.2143382680888223,0.05171583677725036,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx""]",least_squares,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.19735346321395997, -0.04924329642080186, 0.0019497034223577292, -0.4414740832652248]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.19735346321395997, -0.04924329642080186, 0.0019497034223577292, -0.4414740832652248]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",223.4801688679152,0.47769814021416923,4,21.574529792428336,0.5944655571387966,4,u|u_x|u_xx|uu_x,eql,"[""u"", ""u_x"", ""u_xx""]","[""u"", ""u_x"", ""u_xx"", ""prod_0""]","[-0.41133150458335876, 0.1008053719997406, 0.055996302515268326, -0.36389365792274475]",4,True,,1,
burgers,1,siren,64,3,30.0,1.0,300,1024,0.001,0.0,1,1,tv_u,0.0,0.7,1.0,1,0.8616382098145972,0.607009846321766,1.4012512572890272,0.9797322766883353,5.517101177953531,57.501580136105666,0.9996823157202809,249.2135591019935,11887.201493079945,,,,2,0.44722360402050587,0.3694809610300725,0.07774264358057834,0.0,"least_squares,eql","[""u"", ""u_x"", ""u_xx""]",least_squares,"[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.279321737814759, 0.058854102626018916, 0.0011838378939866279, 0.45937115711754106]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[-0.279321737814759, 0.058854102626018916, 0.0011838378939866279, 0.45937115711754106]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]","[""u"", ""u_x"", ""u_xx"", ""uu_x""]","[0.0, 0.0, 0.01, -1.0]",262.99675752005146,0.6254943315014027,4,109.48014636521609,1.4870529034142133,4,u|u_x|u_xx|uu_x,eql,"[""u"", ""u_x"", ""u_xx""]","[""u"", ""u_x"", ""u_xx"", ""prod_0""]","[1.39614737033844, -0.3549497127532959, -0.005823948886245489, 0.1340150535106659]",4,True,,1,
