alpha,original status,initial distance,min distance,epoch of min distance,first convergence epoch,threshold ever crossed,first combined success epoch,combined success ever,final combined success,final distance,final PDE MSE,final coeff(u*u_x),final coeff(u_xx)
0.0,success,0.01488292632568668,0.003561217516270091,8380,367,True,367,True,True,0.007149486469682079,0.09228414297103882,-0.8964490294456482,0.010521878488361835
0.2,not converged at old horizon,0.4741394401380423,0.0036587387281114716,8591,1537,True,1537,True,True,0.006546652962303046,0.09031221270561218,-0.8895747661590576,0.009992323815822601
0.3,not converged at old horizon,0.6292008733255835,0.0036360463777134235,9578,1945,True,1945,True,True,0.005692339383282656,0.09060817211866379,-0.8923146724700928,0.010028097778558731
0.4,not converged at old horizon,0.7422608160908963,0.003501950204034639,9895,2136,True,2136,True,True,0.005803817370672673,0.08980368822813034,-0.8946055769920349,0.010185432620346546
0.5,not converged at old horizon,0.8200404802852375,0.00304990150198641,8839,2148,True,2148,True,True,0.005951070769631637,0.08980619162321091,-0.894763171672821,0.010174880735576153
0.6,not converged at old horizon,0.8691699385151302,0.003933255490809114,6649,1992,True,1992,True,True,0.005815436452912199,0.08980368077754974,-0.8945990204811096,0.01018494926393032
0.7,not converged at old horizon,0.896163817453448,0.0023286035412718254,7828,2050,True,2050,True,True,0.0058156185782821815,0.08980368077754974,-0.8945991396903992,0.010185016319155693
0.8,success,0.9074134777805705,0.0034459388513503747,8782,983,True,983,True,True,0.006422755078181215,0.0910138189792633,-0.8957940936088562,0.009997306391596794
0.9,success,0.9092128332188995,0.002777358719295841,475,462,True,462,True,True,0.005872539662208783,0.08984850347042084,-0.8910878300666809,0.010196728631854057
1.0,not converged at old horizon,0.9078463071639202,0.003504495985761965,9085,1201,True,1201,True,True,0.006018524817852257,0.08980981260538101,-0.8951013684272766,0.010215379297733307
