seed,delta_loss_scaled_minus_unscaled,delta_coeff_error_scaled_minus_unscaled
0,-0.8753104954957962,-0.9087474205860994
1,-0.7965994626283646,-0.900119009842702
2,-1.4906392246484756,-0.9531319604949474
3,-13.547153487801552,-1.0498600917452294
4,-74.94733620435,-1.6318520702826667
5,-7.645912066102028,-1.1010796322524095
6,-0.9298966079950333,-0.9112471035749887
7,-0.6240074187517166,-0.8963893976115465
8,-2.303283467888832,-1.0475868786245144
9,-0.8049256950616837,-0.8980446112616272
10,-0.8649370819330214,-0.9077995059365377
11,-1.6052750498056412,-0.9207463043086237
12,-0.815516546368599,-0.9001609594606799
13,-1.3127018362283707,-0.945923629585199
14,-0.8162281066179274,-0.8987212436526307
15,-0.844297483563423,-0.8926227614771396
16,-1.923100009560585,-1.0404273548955805
17,-1.5190419107675552,-0.9229280870991715
18,-0.9644684940576553,-0.909549585024485
19,-165.8827152401209,-1.670026732443103
20,-0.8917889595031738,-0.9017849781681913
21,-1.0429574400186539,-0.9352107733021499
22,-1.3459054380655289,-0.9651618253085754
23,-1.3352993875741959,-0.9878187582241892
24,-1.3011176735162735,-0.8721812408681776
