epoch,data_loss,pde_loss,total_loss,coefficient_error,spurious_l2,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2
0,5.8619985793484375e-05,3.3118839263916016,1.6560006141662598,0.9488423070846635,0.3235122840558269,-0.18644505420665752,-0.2308051255024362,0.008191655780259346,0.12764627241494503,-0.10809076202479152,-0.0034027929344449064,0.017951995049458925,6.640361375133079e-05,-7.308774492663589e-05
1,0.0031359493732452393,2.2946348190307617,1.1504533290863037,0.948771450420886,0.32291263375733353,-0.18586125486966315,-0.23059833353628806,0.008181530644126144,0.12735417207894179,-0.10794898134930764,-0.003406667914364632,0.017940759412723807,6.96877397651598e-05,-7.288196611607815e-05
2,0.005814644508063793,1.57590651512146,0.7937679290771484,0.948723174393741,0.322336828605137,-0.1853010135079412,-0.23039220713016925,0.008171765805201714,0.1270881156717737,-0.10779221958539716,-0.003410268777683381,0.017915547087351876,7.192085903347885e-05,-7.268871430066944e-05
3,0.008233213797211647,1.3292055130004883,0.6728359460830688,0.9486884315675311,0.32178424147719037,-0.18474893218344432,-0.230188866216025,0.008162624395115906,0.12686506628281463,-0.10762983091891723,-0.003413387646773162,0.01787761582240263,7.298010230113933e-05,-7.251586009980094e-05
4,0.009777206927537918,1.0282596349716187,0.5239070057868958,0.9486501902712046,0.32124187895851153,-0.1841916312189314,-0.22999121953768722,0.008154394893040904,0.1266648510405098,-0.10747519903117114,-0.003416092169946813,0.01783709387474016,7.343768166523173e-05,-7.235643728202393e-05
5,0.012189469300210476,0.9009363651275635,0.4626576602458954,0.948606561739651,0.32071814542104105,-0.18363739244322788,-0.22979569279129466,0.008146729072026185,0.12650276719791134,-0.10733333200935626,-0.0034184330834389626,0.01779691089490933,7.367131498388349e-05,-7.221629992604708e-05
6,0.015583149157464504,0.8210717439651489,0.42611902952194214,0.9485598440672479,0.320193663202425,-0.18307109629908733,-0.22960068370270273,0.008139795312174344,0.1263547413886623,-0.10719479651681203,-0.003420537580171143,0.01775529048758193,7.356370201408185e-05,-7.209327261222498e-05
7,0.01732686348259449,0.662682294845581,0.34866800904273987,0.9485068072494749,0.31967114751430126,-0.18249630954052065,-0.22940860800831409,0.00813349282682899,0.12621764509089006,-0.1070639962164189,-0.0034224828215001853,0.017714746876561802,7.327738147277227e-05,-7.198235676395673e-05
8,0.020933866500854492,0.6034024953842163,0.32263511419296265,0.9484494709109275,0.3191628307090098,-0.18192681201717026,-0.22922025452001535,0.008127463732833002,0.12610092481544363,-0.10694315452619983,-0.0034242240608858268,0.017676070137245984,7.294315494751532e-05,-7.188398013229618e-05
9,0.02303684689104557,0.5474425554275513,0.29675811529159546,0.9483916324603417,0.31866804068285703,-0.1813688498982553,-0.2290349330274058,0.008121845631130435,0.12599526609947514,-0.10682796852066055,-0.003425821899941651,0.01763820131373941,7.250477853563366e-05,-7.179604673707938e-05
10,0.024787988513708115,0.49807900190353394,0.2738274931907654,0.9483338830414392,0.3181863024070807,-0.18082252757657613,-0.22885387604905819,0.008116543770194025,0.12589709348941597,-0.10671761790965664,-0.0034272862040466137,0.01760128440365476,7.198542525541245e-05,-7.171655225908247e-05
11,0.02879900112748146,0.48005759716033936,0.26882779598236084,0.9482758391349219,0.31772035742697824,-0.18029167278814448,-0.22867735473905856,0.008111499609271256,0.12580731100619683,-0.1066134626479012,-0.0034286268385796703,0.017565889025867008,7.142476456864856e-05,-7.164462286400971e-05
12,0.02980496920645237,0.41494664549827576,0.2372782975435257,0.9482229891796,0.31727881624726284,-0.1797985733958289,-0.22850534444703546,0.008106550803388663,0.12571584237157885,-0.10651271087069222,-0.0034299738151420556,0.01753225347731042,7.088037413302667e-05,-7.157962303600964e-05
13,0.029176462441682816,0.36696118116378784,0.21265704929828644,0.948178480451616,0.3168751639508055,-0.17936095877688385,-0.22833782052261745,0.008101905564501065,0.12563173795240762,-0.10641676570590831,-0.00343119782680246,0.01749968453053985,7.029341273348674e-05,-7.152039173650744e-05
14,0.03193327784538269,0.3455612361431122,0.20471389591693878,0.9481444047536146,0.3165147112018579,-0.17898977277654296,-0.22817443786060412,0.008097450432180908,0.12555363663851782,-0.10632523859506,-0.0034323408014214443,0.01746834147494986,6.969708384994797e-05,-7.146671508997622e-05
15,0.03588694706559181,0.30711477994918823,0.18944433331489563,0.9481140294747972,0.316184454314153,-0.17865679454111952,-0.22801576341953897,0.008093155230782566,0.12548811035734952,-0.1062406191906908,-0.003433334033681283,0.017438665223584608,6.911942753651177e-05,-7.141789036254173e-05
16,0.03332080692052841,0.2849416136741638,0.17579162120819092,0.9480860462366,0.3158843527128481,-0.17835826592980197,-0.22786238880833695,0.008089021770844775,0.125439415117554,-0.10616424586093105,-0.0034341257303424602,0.01741077683638397,6.856463225188536e-05,-7.137342869585671e-05
17,0.033378854393959045,0.2885521352291107,0.1776549220085144,0.9480619159710799,0.31561908901239705,-0.17810253836661596,-0.22771399357216915,0.008085024704825214,0.12540811974128993,-0.10609619056105658,-0.00343472047175949,0.017384728560269357,6.80478528848362e-05,-7.133307955001817e-05
18,0.03535095229744911,0.25696343183517456,0.1638326644897461,0.9480387066022014,0.3153736150227537,-0.17786739358389322,-0.22756796477166114,0.008081059624990016,0.12539280217316068,-0.10603422267751683,-0.0034351598334579716,0.017359837362316874,6.756848105588724e-05,-7.12966473816872e-05
19,0.036864202469587326,0.2641788721084595,0.16895364224910736,0.9480178253480235,0.315150195414301,-0.17765686810324616,-0.2274254609742714,0.008077198952888682,0.12539138011776407,-0.10597762985308114,-0.0034354374734085757,0.0173358751401135,6.709854690856906e-05,-7.126358222522312e-05
20,0.03654587268829346,0.2233494222164154,0.14822058379650116,0.9479945935452,0.3149386769468731,-0.17745043134061164,-0.22728626032665686,0.008073423979620924,0.12540780485759498,-0.10592777923799017,-0.00343549032365298,0.017313026669356933,6.664222330211514e-05,-7.123339522227865e-05
21,0.03752298653125763,0.2062179148197174,0.14063194394111633,0.9479707875379605,0.31474149408494384,-0.17725366831080688,-0.22715184185110485,0.00806973651572548,0.1254375664455384,-0.10588363467627206,-0.0034353726437754395,0.01729137350621719,6.621070285895534e-05,-7.120580527930409e-05
22,0.03758310526609421,0.1883876770734787,0.13177694380283356,0.9479445042231044,0.3145581135811307,-0.17706179434381714,-0.2270228218069018,0.008066073192346536,0.1254849005751686,-0.10584701663640515,-0.0034350565993139016,0.017271273733253257,6.582577024420934e-05,-7.118073906754736e-05
23,0.036648232489824295,0.16572125256061554,0.11950886249542236,0.9479178678195348,0.31438690791872886,-0.17687884596125483,-0.22689814022807508,0.008062532382088834,0.1255419960993427,-0.10581509008052198,-0.0034346249889845998,0.017252156457275007,6.545110208320394e-05,-7.115798882221088e-05
24,0.03740618750452995,0.16538825631141663,0.12010031938552856,0.9478915654907165,0.3142303585430569,-0.17670830292313064,-0.22677819152056802,0.008059063993380631,0.12560943199775787,-0.10578799172364661,-0.003434074994107832,0.017234099411506987,6.50989244635063e-05,-7.113737122141437e-05
25,0.03742768615484238,0.15886615216732025,0.1168607622385025,0.9478686527653852,0.31409889918384937,-0.17656787720789902,-0.2266629756843806,0.008055708461587069,0.12568839670242418,-0.10576613890637881,-0.003433395339964792,0.017217088578482483,6.476540771430587e-05,-7.111849517848007e-05
26,0.03756945952773094,0.15243373811244965,0.11378632485866547,0.9478490029427771,0.313985886270151,-0.17645144443794117,-0.22655177785874056,0.008052424144317184,0.12577222686805464,-0.1057473226017508,-0.0034326642449171987,0.01720090222736425,6.444887879204089e-05,-7.110133013976124e-05
27,0.036737941205501556,0.14576725661754608,0.1096215695142746,0.9478329854292848,0.31388935865162815,-0.17635790848885366,-0.22644415433696172,0.008049185090515736,0.1258584034250895,-0.10573045628509763,-0.003431915533121471,0.01718538998896382,6.415284757830954e-05,-7.108576611212975e-05
28,0.03463521972298622,0.139107808470726,0.10418912768363953,0.9478215313742282,0.313809438724895,-0.1762905055374465,-0.22633993256644383,0.008046037167164077,0.12594304619380373,-0.1057145901467784,-0.003431182676399064,0.017170421883135226,6.385972956630472e-05,-7.107150978057722e-05
29,0.038134582340717316,0.13394388556480408,0.10510652512311935,0.9478116973129164,0.31373714237822875,-0.1762325327356683,-0.22623871814124366,0.008042935714306683,0.1260278921132889,-0.10569968820915522,-0.0034304533430262844,0.01715589214172048,6.357579964435037e-05,-7.105854892364499e-05
30,0.036535702645778656,0.1268501877784729,0.0999607965350151,0.9478018099244847,0.313667872036525,-0.17617656079589628,-0.22614063431321846,0.00803993384107985,0.1261116511761495,-0.1056859087738349,-0.0034297229526486163,0.017141944762332273,6.329852289795888e-05,-7.104662077997138e-05
31,0.03741517290472984,0.12875695526599884,0.10179364681243896,0.9477920274843177,0.3136030915885121,-0.1761246079789366,-0.22604619874016882,0.008036989905092622,0.12619419133438448,-0.10567359722614139,-0.003428997494960426,0.01712882313916549,6.304519914354107e-05,-7.103568868518035e-05
32,0.039450354874134064,0.1250624656677246,0.10198158770799637,0.9477806181383014,0.3135357614297301,-0.1760652606719542,-0.22595432680575064,0.008034070713134805,0.12627594936215128,-0.10566212035964744,-0.0034282959960496994,0.017116141154727715,6.280251033036588e-05,-7.102580152510664e-05
33,0.037275079637765884,0.12051587551832199,0.09753301739692688,0.9477690398624825,0.31346786408417515,-0.1760046258537678,-0.22586425434844878,0.008031128587686313,0.12635471091604664,-0.10565062910209833,-0.0034276487567232276,0.017103841464836893,6.257993703861699e-05,-7.101696541047957e-05
34,0.038193099200725555,0.1197756826877594,0.09808094054460526,0.9477580185244302,0.3134018836238736,-0.17594724461119146,-0.22577612927049198,0.008028211809780146,0.1264300493794516,-0.10563922419088019,-0.003427045559267093,0.01709199415682664,6.237367689656295e-05,-7.100892369066684e-05
35,0.03765840828418732,0.1053723692893982,0.09034459292888641,0.9477454640624279,0.3133319087277134,-0.175881372754189,-0.22568965576742275,0.00802528296161573,0.1265042197259236,-0.1056280495365447,-0.0034264754812974516,0.017080391517326446,6.217990803313018e-05,-7.100156026181094e-05
36,0.03620266169309616,0.10215842723846436,0.08728187531232834,0.9477314439249216,0.3132589856632694,-0.17580868056756557,-0.22560520359481298,0.008022404205023051,0.1265768156539208,-0.10561740015572273,-0.003425917030381579,0.017069153331961014,6.198777711444323e-05,-7.099489345609992e-05
37,0.03658316284418106,0.10081363469362259,0.08698998391628265,0.9477154228502022,0.3131809360853151,-0.17572561869611025,-0.22552343831269192,0.008019524241404547,0.12664617132712142,-0.10560708176916955,-0.003425404030675894,0.017058413403821786,6.181342569598553e-05,-7.098885605551103e-05
38,0.03749847412109375,0.09674526751041412,0.08587110787630081,0.9477009524386389,0.3131067396081886,-0.17564836802387282,-0.22544339855657286,0.008016664193712157,0.12671381037630755,-0.10559647556151307,-0.0034248991346743514,0.017047777969525394,6.16390547781856e-05,-7.098341750639756e-05
39,0.035790298134088516,0.09611859917640686,0.08384959399700165,0.9476867959980747,0.31303413564110466,-0.17557226567243892,-0.22536513362719862,0.008013840356794517,0.12678051493194734,-0.10558609961073923,-0.0034243974096874728,0.01703736681469655,6.146924280659494e-05,-7.097844337271399e-05
40,0.03654943034052849,0.0962664783000946,0.08468267321586609,0.9476721288366662,0.312960070861727,-0.17549273575739446,-0.22528795331416848,0.008011002035566976,0.12684631546665642,-0.1055757596376033,-0.0034239171771333187,0.01702715445303213,6.131293607942057e-05,-7.097414752998728e-05
41,0.03592083230614662,0.09080061316490173,0.08132113516330719,0.9476567316430774,0.31288225535173425,-0.1754085429639357,-0.2252120548204541,0.008008157075697398,0.12690690518409076,-0.10556488719542627,-0.003423506002231853,0.01701726704173262,6.116933122376334e-05,-7.097040165290125e-05
42,0.033514354377985,0.09069482982158661,0.0788617730140686,0.9476392866871339,0.31280089400581684,-0.1753155637764499,-0.22513889251797134,0.008005367035502859,0.12696589001043462,-0.10555495017183496,-0.003423118433772888,0.017007872790398684,6.10348715596037e-05,-7.09669063157182e-05
43,0.034282226115465164,0.08346521854400635,0.07601483166217804,0.9476207615833412,0.3127167137815669,-0.17521741714534825,-0.22506762829409077,0.008002614413108896,0.12702156347921212,-0.10554517864537803,-0.003422779135203812,0.016998845541829833,6.090977937944289e-05,-7.096379595448364e-05
44,0.03407279774546623,0.07744835317134857,0.07279697060585022,0.9475994401418799,0.31262776209716864,-0.17510702175900894,-0.22499922351329912,0.007999862997740756,0.12707715568768121,-0.10553670950941353,-0.0034224500543486545,0.016990367523093446,6.080220150845723e-05,-7.096099724044547e-05
45,0.03529725223779678,0.082512266933918,0.07655338943004608,0.9475796183928794,0.31253938188598035,-0.17500036711468112,-0.22493212520219466,0.007997179779331731,0.12712659242779067,-0.10552685883215321,-0.0034221787564273787,0.016981909893399563,6.068722168716776e-05,-7.095852850579171e-05
46,0.036292143166065216,0.07874900847673416,0.0756666511297226,0.9475579331051002,0.3124492398588306,-0.17488793606873557,-0.2248682067890081,0.007994493543358145,0.1271738249820354,-0.10551837530513354,-0.0034219617180903583,0.01697429203739383,6.061311638702386e-05,-7.095627364666489e-05
47,0.03707754611968994,0.07435151934623718,0.07425330579280853,0.9475355290619492,0.3123549762556961,-0.17476943284157131,-0.22480574274773746,0.007991803686307081,0.12721659837685784,-0.10550922259404871,-0.0034218042243620334,0.016966856408455484,6.0547072114950555e-05,-7.095426932744104e-05
48,0.0358121432363987,0.07469139993190765,0.07315784692764282,0.9475116747093439,0.3122569456630952,-0.17464473564158806,-0.22474574374361247,0.007989148833004944,0.12725411016671284,-0.10550030013984651,-0.0034217161406213596,0.01696000314154367,6.049942742218885e-05,-7.095241166572139e-05
49,0.03494282811880112,0.07253367453813553,0.07120966911315918,0.9474877671342626,0.31215361197879243,-0.1745143142363872,-0.22468665680323135,0.007986527776425908,0.12728477577558697,-0.10548959319480389,-0.003421685839814568,0.01695308488455887,6.044217345358488e-05,-7.095075565806998e-05
50,0.036015260964632034,0.07113415002822876,0.07158233225345612,0.9474641796635205,0.3120469902078136,-0.17438236173678162,-0.22462835867473688,0.007983939309544148,0.12730798575116745,-0.10547741116660686,-0.0034217390423939347,0.016946276218677538,6.038528997248295e-05,-7.094924019719341e-05
51,0.03553525730967522,0.0743076428771019,0.07268907874822617,0.9474403837224148,0.31193951569622486,-0.17424941750557302,-0.22457124376407228,0.007981384639385488,0.12732826019810775,-0.10546516437866159,-0.0034218193747654296,0.01693974790213064,6.0336693711821276e-05,-7.094791416892641e-05
52,0.03503286838531494,0.06939054280519485,0.06972813606262207,0.9474139714923845,0.31182027886533514,-0.17409970083111284,-0.22451403025192188,0.00797882815868809,0.12734275500561468,-0.10545160080916874,-0.003421974049814053,0.016933247620517185,6.029064796512098e-05,-7.09468386805624e-05
53,0.033187635242938995,0.07309991121292114,0.06973759084939957,0.9473863531303273,0.31169167384405344,-0.1739387967282183,-0.2244574083486864,0.00797627590258108,0.12734846354227825,-0.1054360656651183,-0.003422227378652231,0.016926751161849198,6.0239684484314725e-05,-7.094584874240916e-05
54,0.035613469779491425,0.06832647323608398,0.06977670639753342,0.9473576997652394,0.3115577429421401,-0.17376980218329888,-0.22440090969730822,0.007973741751861446,0.1273518764752301,-0.10541978938172689,-0.0034225106559622382,0.016920168049750568,6.018665407323396e-05,-7.094491380082e-05
55,0.033507656306028366,0.06742636114358902,0.06722083687782288,0.9473298483367693,0.31142284604504705,-0.17360242572678442,-0.22434485475261626,0.007971179839547836,0.12734980433736648,-0.10540234742286711,-0.003422870742294113,0.016913769713349635,6.0155751515695786e-05,-7.094424773132183e-05
56,0.03161698207259178,0.06828544288873672,0.06575970351696014,0.9473013257968472,0.3112837205540168,-0.17343029939785537,-0.2242890216612674,0.00796863542910869,0.12734335430038896,-0.10538416432466635,-0.0034232822695305413,0.016907492436888574,6.0128764426073863e-05,-7.094370998713981e-05
57,0.03348635137081146,0.07151712477207184,0.06924491375684738,0.947273739498313,0.3111461850027157,-0.1732618790133377,-0.22423284346471817,0.007966097053798667,0.127336264338483,-0.1053655638858658,-0.003423704014480888,0.016901095374802798,6.0096177125368546e-05,-7.094336778629673e-05
58,0.03293674439191818,0.06536871194839478,0.06562110036611557,0.9472462544037075,0.31100134265625057,-0.17308743864400156,-0.2241753094977388,0.007963549022282045,0.12732184063374588,-0.10534433707949768,-0.003424215604846722,0.01689435807057023,6.0056702656993824e-05,-7.094325168243924e-05
