lambda_ratio,lambda_data,lambda_pde,weighted_data_loss,weighted_pde_loss,data_loss,pde_loss,weighted_pde_over_data,gradient_cosine,u_mse,u_x_mse,u_xx_mse,u_t_mse,coefficient_error,spurious_l2,expression
0.0001,10.0,0.001,0.0077284853905439,0.0014399745268747,0.0007728485506959,1.4399744272232056,0.0530925014443058,0.3427493870258331,0.0007518948405049,0.6769305056651193,1450.7218873856316,0.6258361239311838,0.978689401264099,0.1529599293714041,u_t_hat = (-0.098803)*u + (-0.098368)*u_x + (+0.003191)*u_xx + (-0.062806)*u^2 + (-0.033484)*u*u_x + (+0.001182)*u*u_xx + (-0.003508)*u_x^2 + (+0.000331)*u_x*u_xx + (-0.000005)*u_xx^2
0.001,1.0,0.001,0.0006887804483994,0.0010565288066864014,0.0006887804483994,1.0565288066864014,0.4495424905001658,-0.0165714990301913,0.0006688223220407,0.6223160265952515,1425.5616581011352,0.3545651927612481,0.9801018795701896,0.1690549825616587,u_t_hat = (-0.116594)*u + (-0.104414)*u_x + (+0.003348)*u_xx + (-0.063776)*u^2 + (-0.034732)*u*u_x + (+0.001290)*u*u_xx + (-0.003745)*u_x^2 + (+0.000365)*u_x*u_xx + (-0.000006)*u_xx^2
0.001,10.0,0.01,0.0068877399899065,0.0105652660131454,0.0006887739873491,1.0565266609191897,0.4496013584149544,-0.0164713617414236,0.0006688174325972,0.622311377628362,1425.5540765106348,0.3545631303495317,0.9801019855343936,0.1690554307689143,u_t_hat = (-0.116595)*u + (-0.104413)*u_x + (+0.003348)*u_xx + (-0.063776)*u^2 + (-0.034732)*u*u_x + (+0.001290)*u*u_xx + (-0.003745)*u_x^2 + (+0.000365)*u_x*u_xx + (-0.000006)*u_xx^2
0.01,0.1,0.001,0.0002301215718034,0.0004859689506702,0.0023012156598269,0.4859689176082611,1.127464481823465,-0.6620061993598938,0.0023412031587213,0.8986626263541478,1750.4304824166163,0.2971137001297203,0.9788843836730524,0.1925034653710021,u_t_hat = (-0.131108)*u + (-0.123989)*u_x + (+0.003944)*u_xx + (-0.066824)*u^2 + (-0.040365)*u*u_x + (+0.001790)*u*u_xx + (-0.005110)*u_x^2 + (+0.000544)*u_x*u_xx + (-0.000012)*u_xx^2
0.01,1.0,0.01,0.002301177708432,0.004859648644924164,0.002301177708432,0.4859648644924164,1.1274542970752455,-0.6620200350683006,0.0023411640431731,0.8986398928723199,1750.4080681765397,0.29710795254894,0.9788846824735684,0.1925046437087914,u_t_hat = (-0.131110)*u + (-0.123989)*u_x + (+0.003944)*u_xx + (-0.066824)*u^2 + (-0.040365)*u*u_x + (+0.001790)*u*u_xx + (-0.005110)*u_x^2 + (+0.000544)*u_x*u_xx + (-0.000012)*u_xx^2
0.01,10.0,0.1,0.0230117496103048,0.0485964231193065,0.0023011749144643,0.4859642386436462,1.127479123798202,-0.6620035767555237,0.002341165440157,0.8986384013900848,1750.4059850298545,0.2971073160027251,0.9788847127129976,0.19250476200905,u_t_hat = (-0.131110)*u + (-0.123989)*u_x + (+0.003944)*u_xx + (-0.066824)*u^2 + (-0.040365)*u*u_x + (+0.001790)*u*u_xx + (-0.005110)*u_x^2 + (+0.000544)*u_x*u_xx + (-0.000012)*u_xx^2
0.1,0.1,0.01,0.0014315556036308,0.0010812485124915,0.0143155558034777,0.1081248521804809,1.256796283270569,-0.774443507194519,0.014546881429851,1.8676187375569424,2203.1282904012573,0.6364135950215939,0.9733821674710804,0.2052029180280938,u_t_hat = (-0.113225)*u + (-0.154986)*u_x + (+0.004303)*u_xx + (-0.072161)*u^2 + (-0.048623)*u*u_x + (+0.002293)*u*u_xx + (-0.007374)*u_x^2 + (+0.000775)*u_x*u_xx + (-0.000018)*u_xx^2
0.1,1.0,0.1,0.0143155232071876,0.010812453925609582,0.0143155232071876,0.1081245392560958,1.2568078409258632,-0.7744373175336693,0.014546850696206,1.8676127883048093,2203.12446152664,0.6364125531996286,0.9733822381452798,0.2052033703560939,u_t_hat = (-0.113226)*u + (-0.154987)*u_x + (+0.004303)*u_xx + (-0.072161)*u^2 + (-0.048623)*u*u_x + (+0.002293)*u*u_xx + (-0.007374)*u_x^2 + (+0.000775)*u_x*u_xx + (-0.000018)*u_xx^2
0.1,10.0,1.0,0.1431552469730377,0.1081242486834526,0.0143155250698328,0.1081242486834526,1.2567886205152718,-0.774425208568573,0.0145468572154641,1.8676125195620965,2203.1242920884115,0.6364125154088414,0.9733822271145112,0.2052033181701275,u_t_hat = (-0.113226)*u + (-0.154987)*u_x + (+0.004303)*u_xx + (-0.072161)*u^2 + (-0.048623)*u*u_x + (+0.002293)*u*u_xx + (-0.007374)*u_x^2 + (+0.000775)*u_x*u_xx + (-0.000018)*u_xx^2
1.0,0.1,0.1,0.0041334675624966,0.0033756305929273,0.0413346737623214,0.0337563045322895,2.9915841111344443,-0.4167822301387787,0.0417041033506393,3.990035522224628,2898.9011833120244,0.9325678092514016,0.968417826903911,0.1892929906213987,u_t_hat = (+0.033332)*u + (-0.170337)*u_x + (+0.004140)*u_xx + (-0.075098)*u^2 + (-0.050395)*u*u_x + (+0.002413)*u*u_xx + (-0.007751)*u_x^2 + (+0.000815)*u_x*u_xx + (-0.000019)*u_xx^2
