lambda_data,lambda_pde,lambda_ratio,data_loss,pde_loss,weighted_data_loss,weighted_pde_loss,total_loss,g_data_norm,g_pde_norm,weighted_g_data_norm,weighted_g_pde_norm,weighted_pde_over_data,gradient_cosine,g_total_norm,cancellation_ratio,data_dot_total,pde_dot_total,coefficient_error,spurious_l2,expression,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2,optimizer,learning_rate,seed,batch_seed,u_mse,u_x_mse,u_xx_mse,u_t_mse,derivative_error_metric,regime,provenance,coeff_error,data_grad,pde_grad,weighted_pde_grad,grad_ratio,grad_cos,symnet_pde_grad,symnet_data_grad
0.1,0.001,0.01,0.0023012156598269,0.4859689176082611,0.0002301215718034,0.0004859689506702,0.0007160905515775,0.1891661882400512,21.32782745361328,0.0189166255295276,0.0213278234004974,1.127464481823465,-0.6620061993598938,0.0166895724833011,0.4147049486637115,9.075203706743196e-05,0.0001877899194369,0.9788843836730524,0.1925034653710021,u_t_hat = (-0.131108)*u + (-0.123989)*u_x + (+0.003944)*u_xx + (-0.066824)*u^2 + (-0.040365)*u*u_x + (+0.001790)*u*u_xx + (-0.005110)*u_x^2 + (+0.000544)*u_x*u_xx + (-0.000012)*u_xx^2,-0.1311076747707725,-0.1239893101199142,0.003943609863336,-0.0668236426217143,-0.0403650460957009,0.0017901758932801,-0.0051100815109063,0.0005438311632882,-1.1986989997160398e-05,Adam,0.0005,19219,19220,0.0023412031587213,0.8986626263541478,1750.4304824166163,0.2971137001297203,1751.3291450429704,mixed gradient pressure,resumed completed Phase 19B-ii run,,,,,,,,
0.1,0.01,0.1,0.0143155558034777,0.1081248521804809,0.0014315556036308,0.0010812485124915,0.0025128042325377,0.7991966605186462,10.044269561767578,0.079919658601284,0.1004427298903465,1.256796283270569,-0.774443507194519,0.0635802522301673,0.3525139093399048,0.0001704268506728,0.0038720236625522,0.9733821674710804,0.2052029180280938,u_t_hat = (-0.113225)*u + (-0.154986)*u_x + (+0.004303)*u_xx + (-0.072161)*u^2 + (-0.048623)*u*u_x + (+0.002293)*u*u_xx + (-0.007374)*u_x^2 + (+0.000775)*u_x*u_xx + (-0.000018)*u_xx^2,-0.113225222873409,-0.1549864989915533,0.0043033805070891,-0.0721611751898301,-0.0486229861301312,0.0022926465971072,-0.0073742133193785,0.0007751232505187,-1.820777051821394e-05,Adam,0.0005,19219,19220,0.014546881429851,1.8676187375569424,2203.1282904012573,0.6364135950215939,2204.995909138814,mixed gradient pressure,resumed completed Phase 19B-ii run,,,,,,,,
0.1,0.1,1.0,0.0413346737623214,0.0337563045322895,0.0041334675624966,0.0033756305929273,0.0075090983882546,1.978326201438904,5.918325424194336,0.1978325247764587,0.5918326377868652,2.9915841111344443,-0.4167822301387787,0.5401913523674011,0.6840764880180359,-0.0096606779843568,0.301467627286911,0.968417826903911,0.1892929906213987,u_t_hat = (+0.033332)*u + (-0.170337)*u_x + (+0.004140)*u_xx + (-0.075098)*u^2 + (-0.050395)*u*u_x + (+0.002413)*u*u_xx + (-0.007751)*u_x^2 + (+0.000815)*u_x*u_xx + (-0.000019)*u_xx^2,0.0333324950011507,-0.1703365811019406,0.0041404075784381,-0.0750976738749164,-0.0503949639481042,0.0024133847421237,-0.0077511226104857,0.0008154074563779,-1.9378175313398872e-05,Adam,0.0005,19219,19220,0.0417041033506393,3.990035522224628,2898.9011833120244,0.9325678092514016,2902.8912188342492,mixed gradient pressure,resumed completed Phase 19B-ii run,,,,,,,,
0.1,1.0,10.0,0.459309309720993,0.0274584107100963,0.0459309332072734,0.0274584107100963,0.0733893439173698,5.851013660430908,3.238731861114502,0.5851015448570251,3.238731861114502,5.535332951318588,-0.0780722871422767,3.2458958625793457,0.8488591313362122,0.1943979561328888,10.341450691223145,0.9766843901630736,0.2323328196688975,u_t_hat = (+0.123814)*u + (-0.179836)*u_x + (+0.004142)*u_xx + (-0.079002)*u^2 + (-0.051484)*u*u_x + (+0.002490)*u*u_xx + (-0.007718)*u_x^2 + (+0.000818)*u_x*u_xx + (-0.000020)*u_xx^2,0.123813793309354,-0.179835946847883,0.0041420443054568,-0.0790017542881674,-0.0514841149806164,0.002490352138557,-0.0077179770361068,0.0008181164609928,-1.960915018871184e-05,Adam,0.0005,19219,19220,0.4588853716850281,7.087242893970998,3308.108449424108,1.0127981055418482,3315.195692318079,PDE-gradient dominated,resumed completed Phase 19B-ii run,,,,,,,,
1.0,0.001,0.001,0.0006887804483994,1.0565288066864014,0.0006887804483994,0.0010565288066864014,0.0017453093314543,0.0766382887869254,34.452167208945376,0.0766382887869254,0.034452167208945374,0.4495424905001658,-0.0165714990301913,0.08350371158398325,0.7516731373133176,0.005829672665548051,0.001143197182753007,0.9801018795701896,0.1690549825616587,u_t_hat = (-0.116594)*u + (-0.104414)*u_x + (+0.003348)*u_xx + (-0.063776)*u^2 + (-0.034732)*u*u_x + (+0.001290)*u*u_xx + (-0.003745)*u_x^2 + (+0.000365)*u_x*u_xx + (-0.000006)*u_xx^2,-0.1165937349565625,-0.1044141543418917,0.0033478982604884,-0.0637757766839959,-0.0347317395067045,0.0012902893021533,-0.0037449914699382,0.0003645951440069,-6.481518467462949e-06,Adam,0.0005,19219,19220,0.0006688223220407,0.6223160265952515,1425.5616581011352,0.3545651927612481,1426.1839741277304,mixed gradient pressure,reused exact Phase 19B-i result,0.9801018795701896,0.0766382887869254,34.452167208945376,0.0344521672089453,0.4495424905001655,-0.0165714990301913,0.5443332305912072,0.0
1.0,0.01,0.01,0.002301177708432,0.4859648644924164,0.002301177708432,0.004859648644924164,0.0071608265861868,0.1891678336727972,21.32780869428105,0.1891678336727972,0.2132780869428105,1.1274542970752455,-0.6620200350683006,0.16689262043140704,0.4146957687535188,0.00907503684046786,0.018778109913993837,0.9788846824735684,0.1925046437087914,u_t_hat = (-0.131110)*u + (-0.123989)*u_x + (+0.003944)*u_xx + (-0.066824)*u^2 + (-0.040365)*u*u_x + (+0.001790)*u*u_xx + (-0.005110)*u_x^2 + (+0.000544)*u_x*u_xx + (-0.000012)*u_xx^2,-0.1311096756327787,-0.1239890143154567,0.0039436062422586,-0.0668236629367914,-0.0403649777381889,0.0017901691989158,-0.0051100496530274,0.0005438279185977,-1.1986894517014444e-05,Adam,0.0005,19219,19220,0.0023411640431731,0.8986398928723199,1750.4080681765397,0.29710795254894,1751.306708069412,mixed gradient pressure,reused exact Phase 19B-i result,0.9788846824735684,0.1891678336727972,21.32780869428105,0.2132780869428104,1.1274542970752452,-0.6620200350683006,0.2541250496579059,0.0
1.0,0.1,0.1,0.0143155232071876,0.1081245392560958,0.0143155232071876,0.010812453925609582,0.0251279771327972,0.7991996364563648,10.044403695634587,0.7991996364563648,1.0044403695634587,1.2568078409258632,-0.7744373175336693,0.6358175159506517,0.3525190802092153,0.017041758246432726,0.38722215534322457,0.9733822381452798,0.2052033703560939,u_t_hat = (-0.113226)*u + (-0.154987)*u_x + (+0.004303)*u_xx + (-0.072161)*u^2 + (-0.048623)*u*u_x + (+0.002293)*u*u_xx + (-0.007374)*u_x^2 + (+0.000775)*u_x*u_xx + (-0.000018)*u_xx^2,-0.1132256839416104,-0.1549867208448964,0.0043033847316795,-0.0721612615289078,-0.0486230113144778,0.0022926485349495,-0.0073742126822209,0.0007751233753145,-1.820777662894328e-05,Adam,0.0005,19219,19220,0.014546850696206,1.8676127883048093,2203.12446152664,0.6364125531996286,2204.992074314945,mixed gradient pressure,reused exact Phase 19B-i result,0.9733822381452798,0.7991996364563648,10.044403695634587,1.004440369563459,1.2568078409258636,-0.7744373175336693,0.0732256151364903,0.0
1.0,1.0,1.0,0.0413345843553543,0.0337563604116439,0.0413345843553543,0.0337563604116439,0.0750909447669982,1.97830331325531,5.918640613555908,1.97830331325531,5.918640613555908,2.9917761214364798,-0.4167747795581817,5.402229309082031,0.6840911507606506,-0.966274917125702,30.150394439697266,0.9684178132658986,0.1892929931701073,u_t_hat = (+0.033333)*u + (-0.170337)*u_x + (+0.004140)*u_xx + (-0.075098)*u^2 + (-0.050395)*u*u_x + (+0.002413)*u*u_xx + (-0.007751)*u_x^2 + (+0.000815)*u_x*u_xx + (-0.000019)*u_xx^2,0.0333326407161012,-0.1703365441263834,0.0041404090872204,-0.0750976992687628,-0.0503949783391594,0.0024133854467936,-0.0077511245219585,0.0008154076435716,-1.9378178368763546e-05,Adam,0.0005,19219,19220,0.0417040139436721,3.990035548159802,2898.902018395951,0.9325673025024052,2902.892053944111,mixed gradient pressure,resumed completed Phase 19B-ii run,,,,,,,,
10.0,0.001,0.0001,0.0007728485506959,1.4399744272232056,0.0077284853905439,0.0014399745268747,0.0091684600338339,0.0778637379407882,41.339805603027344,0.7786374688148499,0.041339810937643,0.0530925014443058,0.3427493870258331,0.7937570214271545,0.9680231809616088,0.6173093318939209,0.0127416430041193,0.978689401264099,0.1529599293714041,u_t_hat = (-0.098803)*u + (-0.098368)*u_x + (+0.003191)*u_xx + (-0.062806)*u^2 + (-0.033484)*u*u_x + (+0.001182)*u*u_xx + (-0.003508)*u_x^2 + (+0.000331)*u_x*u_xx + (-0.000005)*u_xx^2,-0.0988032966132818,-0.0983678619303114,0.0031913630040752,-0.0628060263213515,-0.0334837436050468,0.0011824087407629,-0.0035082243510126,0.0003310738092101,-5.499023564480956e-06,Adam,0.0005,19219,19220,0.0007518948405049,0.6769305056651193,1450.7218873856316,0.6258361239311838,1451.3988178912966,data-gradient dominated,resumed completed Phase 19B-ii run,,,,,,,,
10.0,0.01,0.001,0.0006887739873491,1.0565266609191897,0.0068877399899065,0.0105652660131454,0.0174530055373907,0.0766286700963974,34.45237350463867,0.7662868499755859,0.3445236086845398,0.4496013584149544,-0.0164713617414236,0.8349819779396057,0.7516871094703674,0.5828474760055542,0.1143480837345123,0.9801019855343936,0.1690554307689143,u_t_hat = (-0.116595)*u + (-0.104413)*u_x + (+0.003348)*u_xx + (-0.063776)*u^2 + (-0.034732)*u*u_x + (+0.001290)*u*u_xx + (-0.003745)*u_x^2 + (+0.000365)*u_x*u_xx + (-0.000006)*u_xx^2,-0.1165951442593668,-0.1044131929774049,0.003347880155101,-0.063775964598459,-0.0347317107245942,0.0012902804937792,-0.0037449548333774,0.0003645914625311,-6.4814115296994825e-06,Adam,0.0005,19219,19220,0.0006688174325972,0.622311377628362,1425.5540765106348,0.3545631303495317,1426.1763878882632,mixed gradient pressure,resumed completed Phase 19B-ii run,,,,,,,,
