epoch,u_mse,u_x_mse,u_xx_mse,u_t_mse,lambda_data,lambda_pde,lambda_ratio
0,2.1669418811798096,70.51128070858503,16181.683780215651,78.11902169372291,0.1,0.001,0.01
50,0.1189547777175903,13.734273417890336,7592.471724627942,10.07281287508126,0.1,0.001,0.01
200,0.007069791201502,3.3149656655455173,3589.327540833732,1.3592542639552343,0.1,0.001,0.01
500,0.0031242766417562,1.476953100480538,2301.376564177496,0.4864504283206325,0.1,0.001,0.01
1000,0.0023412031587213,0.8986626263541478,1750.4304824166163,0.2971137001297203,0.1,0.001,0.01
0,2.1669418811798096,70.51128070858503,16181.683780215651,78.11902169372291,0.1,0.01,0.09999999999999999
50,0.4316157698631286,15.763283348328551,7163.703572556695,5.547054933194954,0.1,0.01,0.09999999999999999
200,0.0360026881098747,5.371886088249922,4017.756669581457,1.2707966162071769,0.1,0.01,0.09999999999999999
500,0.0166243817657232,2.5485879739413417,2638.861241090469,0.7244964055821655,0.1,0.01,0.09999999999999999
1000,0.014546881429851,1.8676187375569424,2203.1282904012573,0.6364135950215939,0.1,0.01,0.09999999999999999
0,2.1669418811798096,70.51128070858503,16181.683780215651,78.11902169372291,0.1,0.1,1.0
50,0.7846480011940002,18.54429461686147,7129.127402000214,5.295962167776176,0.1,0.1,1.0
200,0.4418912529945373,9.202997995430144,4428.954992810895,1.4569168045854366,0.1,0.1,1.0
500,0.1228491738438606,5.974083681135022,3516.8354921991145,1.0434422871172218,0.1,0.1,1.0
1000,0.0417041033506393,3.990035522224628,2898.9011833120244,0.9325678092514016,0.1,0.1,1.0
0,2.1669418811798096,70.51128070858503,16181.683780215651,78.11902169372291,0.1,1.0,10.0
50,0.8670976161956787,19.467472691902653,7251.188375601541,5.40228612738197,0.1,1.0,10.0
200,0.7072187066078186,10.81464589808832,4509.212841407378,1.550226512220908,0.1,1.0,10.0
500,0.6070148348808289,8.377537698801898,3652.925729627233,1.1013818519184977,0.1,1.0,10.0
1000,0.4588853716850281,7.087242893970998,3308.108449424108,1.0127981055418482,0.1,1.0,10.0
0,2.1669421195983887,70.51128606865896,16181.684124210296,78.11902162344302,1.0,0.001,0.001
50,0.0969642773270607,14.789348129385733,8163.598515829759,15.360112609892395,1.0,0.001,0.001
200,0.0072368280962109,3.681566130508523,3939.1610306200414,3.124358083157526,1.0,0.001,0.001
500,0.0016938769258558,1.3410484744636135,2214.53028978694,0.9001105257400068,1.0,0.001,0.001
1000,0.0006688223220407,0.6223160265952515,1425.5616581011352,0.3545651927612481,1.0,0.001,0.001
0,2.1669421195983887,70.51128606865896,16181.684124210296,78.11902162344302,1.0,0.01,0.01
50,0.1189537197351455,13.734226313034345,7592.459836420007,10.072766606893143,1.0,0.01,0.01
200,0.0070696645416319,3.3149260157585,3589.3086850693585,1.3592326275935716,1.0,0.01,0.01
500,0.0031242377590388,1.476930087287962,2301.358112462743,0.4864401007991569,1.0,0.01,0.01
1000,0.0023411640431731,0.8986398928723199,1750.4080681765397,0.29710795254894,1.0,0.01,0.01
0,2.1669421195983887,70.51128606865896,16181.684124210296,78.11902162344302,1.0,0.1,0.1
50,0.4316150546073913,15.76326860188304,7163.7009468325805,5.547048174673251,1.0,0.1,0.1
200,0.0360023267567157,5.371866960914769,4017.749019908569,1.2707908095873106,1.0,0.1,0.1
500,0.0166243258863687,2.548574996630864,2638.8562567796844,0.7244936129461436,1.0,0.1,0.1
1000,0.014546850696206,1.8676127883048093,2203.12446152664,0.6364125531996286,1.0,0.1,0.1
0,2.1669418811798096,70.51128070858503,16181.683780215651,78.11902169372291,1.0,1.0,1.0
50,0.7846481204032898,18.54428422320055,7129.1247518842765,5.295960255449655,1.0,1.0,1.0
200,0.4418911933898926,9.202993103626456,4428.953596869834,1.4569164347952672,1.0,1.0,1.0
500,0.1228489354252815,5.974079316680053,3516.8348873628283,1.0434420869017,1.0,1.0,1.0
1000,0.0417040139436721,3.990035548159802,2898.902018395951,0.9325673025024052,1.0,1.0,1.0
0,2.1669418811798096,70.51128070858503,16181.683780215651,78.11902169372291,10.0,0.001,0.0001
50,0.0975828915834426,15.094099824534522,8259.116492858682,16.648643606920437,10.0,0.001,0.0001
200,0.0086642811074852,3.9296793114328623,4063.10681972697,4.384678954267938,10.0,0.001,0.0001
500,0.0020596461836248,1.4475873384073468,2278.783207138645,1.4719094468537155,10.0,0.001,0.0001
1000,0.0007518948405049,0.6769305056651193,1450.7218873856316,0.6258361239311838,10.0,0.001,0.0001
0,2.1669418811798096,70.51128070858503,16181.683780215651,78.11902169372291,10.0,0.01,0.001
50,0.0969641432166099,14.789338851370362,8163.597182590612,15.360106243529255,10.0,0.01,0.001
200,0.0072367992252111,3.6815582434636616,3939.155965991868,3.12435036675752,10.0,0.01,0.001
500,0.0016938685439527,1.3410429668742976,2214.524084397521,0.9001079394141075,10.0,0.01,0.001
1000,0.0006688174325972,0.622311377628362,1425.5540765106348,0.3545631303495317,10.0,0.01,0.001
0,2.1669418811798096,70.51128070858503,16181.683780215651,78.11902169372291,10.0,0.1,0.01
50,0.118953600525856,13.734216063573788,7592.457281184343,10.072762614387203,10.0,0.1,0.01
200,0.0070696529000997,3.314921511742666,3589.3047550115234,1.3592301840505754,10.0,0.1,0.01
500,0.0031242279801517,1.4769267632326706,2301.355098119904,0.4864391025203287,10.0,0.1,0.01
1000,0.002341165440157,0.8986384013900848,1750.4059850298545,0.2971073160027251,10.0,0.1,0.01
0,2.1669418811798096,70.51128070858503,16181.683780215651,78.11902169372291,10.0,1.0,0.1
50,0.4316150546073913,15.763273142958973,7163.702469392049,5.547051677342441,10.0,1.0,0.1
200,0.0360023193061351,5.37185909374468,4017.7459954876704,1.2707900169680535,10.0,1.0,0.1
500,0.0166243184357881,2.548571092997047,2638.855096206345,0.724493888065208,10.0,1.0,0.1
1000,0.0145468572154641,1.8676125195620965,2203.1242920884115,0.6364125154088414,10.0,1.0,0.1
