epoch,data_loss,pde_loss,total_loss,coeff_error,spurious_l2,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2,data_grad,pde_grad,weighted_data_grad,weighted_pde_grad,grad_ratio,grad_cos,symnet_pde_grad,symnet_data_grad
0,2.171844959259033,1802103.625,901054.0,1.0308306703731895,0.45149604491937134,0.0698905885219574,-0.40260303020477295,0.309548944234848,-0.0641210749745369,-0.11970198154449463,0.11971067637205124,-0.05156978219747543,0.11249473690986633,-0.055840108543634415,30.809986042383507,103191505.83115494,30.809986042383507,51595752.91557747,1674643.8263425434,0.2305915525466784,16577124.862989722,0.0
1,2.1427524089813232,1264585.375,632294.8125,1.0307806279020253,0.4508106556639343,0.07039058953523636,-0.4021030366420746,0.30904895067214966,-0.06387842446565628,-0.11924511939287186,0.11924687027931213,-0.051361147314310074,0.11205754429101944,-0.055618613958358765,,,,,,,,
2,2.1917638778686523,987127.6875,493566.03125,1.0307599012436592,0.4501453757162687,0.07081421464681625,-0.40162771940231323,0.3086615800857544,-0.06364081054925919,-0.11880217492580414,0.11879400163888931,-0.05116064473986626,0.1116347461938858,-0.05540293827652931,,,,,,,,
3,2.0302209854125977,767814.8125,383909.4375,1.030768109421559,0.44954550422645345,0.07111581414937973,-0.4012346863746643,0.3083244562149048,-0.06340999901294708,-0.11837607622146606,0.11835416406393051,-0.050969526171684265,0.11122804135084152,-0.055193495005369186,,,,,,,,
4,2.031940221786499,661373.8125,330688.9375,1.0308287564408019,0.44900670860223296,0.07140996307134628,-0.40090006589889526,0.3081130385398865,-0.06318622082471848,-0.1179615780711174,0.11792892962694168,-0.05078298598527908,0.11083349585533142,-0.05499156564474106,,,,,,,,
5,1.9758434295654297,593150.6875,296577.3125,1.0309368376578136,0.44852879828590414,0.07156962901353836,-0.4006475806236267,0.3080044090747833,-0.06296934932470322,-0.11755672097206116,0.11751747876405716,-0.050599489361047745,0.11044875532388687,-0.0547964833676815,,,,,,,,
6,1.9391670227050781,513742.4375,256873.15625,1.0310799558067616,0.4480651283456608,0.07155640423297882,-0.4004305601119995,0.30804476141929626,-0.06275935471057892,-0.11716721206903458,0.1171189472079277,-0.05042397975921631,0.11007846891880035,-0.054607465863227844,,,,,,,,
7,1.8889789581298828,401437.125,200720.453125,1.0312328831459219,0.44765306179291753,0.07146387547254562,-0.40027329325675964,0.3080919682979584,-0.06255621463060379,-0.11679503321647644,0.11673358082771301,-0.05025819316506386,0.1097247377038002,-0.054424773901700974,,,,,,,,
8,1.8413349390029907,366792.40625,183398.046875,1.031391157821824,0.4472658079288536,0.07131107896566391,-0.4001418650150299,0.3081663250923157,-0.06236117705702782,-0.1164383515715599,0.11636420339345932,-0.05009957030415535,0.10938625782728195,-0.05424994230270386,,,,,,,,
9,1.815247654914856,330852.6875,165428.15625,1.031560010613616,0.44689673850078865,0.07112667709589005,-0.4000259041786194,0.30828285217285156,-0.06217433139681816,-0.11609256267547607,0.11601017415523529,-0.04994408041238785,0.10905802994966507,-0.05408228561282158,,,,,,,,
