epoch,data_loss,pde_loss,total_loss,coeff_error,spurious_l2,xi_u,xi_u_x,xi_u_xx,xi_u^2,xi_u*u_x,xi_u*u_xx,xi_u_x^2,xi_u_x*u_xx,xi_u_xx^2,data_grad,pde_grad,weighted_data_grad,weighted_pde_grad,grad_ratio,grad_cos,symnet_pde_grad,symnet_data_grad
0,2.171844959259033,76.15037536621094,40.247032165527344,0.9643839296883523,0.20520962726676284,0.08160520911722177,-0.16650236372411895,0.006268531105383822,-0.08741765588225901,-0.057802133583300205,0.002830534892221806,-0.008820273026813711,0.0009421325894529834,-2.2899140895299556e-05,30.809986042383507,1236.7681538288145,30.809986042383507,618.3840769144073,20.070897664923713,0.5646257718891676,32.1316663897992,0.0
1,2.0264816284179688,66.59680938720703,35.324886322021484,0.9646546067623845,0.20546798252076426,0.08218901715361616,-0.16670914336508136,0.0062584059692506215,-0.0870868451668522,-0.05758152230538717,0.002819568290340425,-0.008784589016643005,0.0009384711433676081,-2.280830948669279e-05,,,,,,,,
2,1.9720691442489624,59.25529861450195,31.59971809387207,0.9649222385699116,0.2057274458225403,0.08277036325980298,-0.16691349494445532,0.006248310405250134,-0.08676068660410002,-0.05736431451202062,0.00280874491262138,-0.00874950648322618,0.0009348626106972603,-2.2718579537049736e-05,,,,,,,,
3,1.7570478916168213,53.83850860595703,28.676301956176758,0.9651823353103691,0.20598552456214414,0.08332766422431591,-0.16711939949723104,0.006238359080835736,-0.08644642251898667,-0.057154561285229444,0.002798224895305216,-0.008715564461874449,0.0009313489228274335,-2.2630626281962575e-05,,,,,,,,
4,1.6996804475784302,47.16334915161133,25.281354904174805,0.9654376425434709,0.20623909128680004,0.08385794485234578,-0.16732648726783664,0.006228719772597107,-0.08614083297179267,-0.056948765598608606,0.0027879594399995997,-0.008682004735069675,0.0009278907066863324,-2.254452916091274e-05,,,,,,,,
5,1.595460295677185,41.51062774658203,22.35077476501465,0.9656810982557429,0.20648102218393216,0.08434557232204455,-0.167531319529454,0.0062190158884768395,-0.08584927098533243,-0.056752601125656825,0.0027780584752128915,-0.008650067848616742,0.000924560780617515,-2.2460648706931344e-05,,,,,,,,
6,1.5116406679153442,38.89353942871094,20.958410263061523,0.9659151622561476,0.2067129899510181,0.08480290848085022,-0.16773108613973703,0.006209805074406093,-0.0855698777300518,-0.0565639020125718,0.0027685251719597563,-0.008619256819604603,0.0009213439819324769,-2.2379527247247408e-05,,,,,,,,
7,1.45087468624115,34.16688537597656,18.534317016601562,0.9661452635783873,0.206959384680468,0.08527382440309762,-0.16793450100499566,0.006200447606697607,-0.08530138351363235,-0.05638246318681742,0.0027593093225080096,-0.008589626443584988,0.0009182342580353952,-2.2300688144972327e-05,,,,,,,,
8,1.396401286125183,31.914201736450195,17.35350227355957,0.9663704525861327,0.20720229371866516,0.08572949897649819,-0.16813524130495122,0.006191174630796872,-0.08504175682836466,-0.05620533088432113,0.002750327775806456,-0.00856045609533688,0.0009151770731659708,-2.2223318673103755e-05,,,,,,,,
9,1.3576996326446533,27.11786651611328,14.916632652282715,0.9665893861705686,0.20745186324295617,0.086183303178893,-0.168337288074594,0.006181881738970024,-0.08479456297027879,-0.0560361100644017,0.0027417137144709934,-0.008532507815323883,0.0009122369467477155,-2.2148636394462883e-05,,,,,,,,
10,1.2767622470855713,25.765544891357422,14.159534454345703,0.9668019245206128,0.20770121096190639,0.08662456284644926,-0.16853871858495037,0.006172679374080053,-0.08455788216458934,-0.055873433576818475,0.002733403718208337,-0.008505531837775318,0.0009093916651299812,-2.20761295354674e-05,,,,,,,,
11,1.2983134984970093,22.464279174804688,12.530452728271484,0.9670068165579236,0.20795109548021404,0.08705514835017271,-0.1687384358944905,0.0061635065813227955,-0.08433411159039345,-0.05571875132037931,0.0027254925651234523,-0.008479757539419359,0.0009066693697634488,-2.2006693317965765e-05,,,,,,,,
12,1.2344107627868652,21.8999080657959,12.184364318847656,0.9672036165997795,0.2081954907161867,0.08746584702543503,-0.1689350842327843,0.006154616836121505,-0.08412093025013305,-0.055571189038482946,0.002717915954085647,-0.008455146053643734,0.0009040600145870106,-2.193990457395111e-05,,,,,,,,
13,1.2383371591567993,20.48292350769043,11.479799270629883,0.9673932180172289,0.20844141357447046,0.08786499289746184,-0.16913243510666462,0.0061458538286318426,-0.08391978051428187,-0.05543137993755664,0.002710698372374828,-0.008431759184733533,0.0009015665323017349,-2.1875775524882123e-05,,,,,,,,
14,1.1800240278244019,18.666292190551758,10.51317024230957,0.9675783615390618,0.208693398424984,0.08826397348088814,-0.16933162243321845,0.006137159018101294,-0.08372796047758634,-0.05529752153794098,0.0027037552595999496,-0.00840931339756643,0.0008991605942632561,-2.1813649267354645e-05,,,,,,,,
