seed,initial_pde_mse,final_pde_mse,final_coeff(u*u_x),final_coeff(u_xx),final_xi_dist_to_LS,final_xi_dist_to_true,ever_reached_good_basin,first_good_epoch
0,206485.71875,0.8804318308830261,-0.008364943787455559,-0.002162596909329295,0.8947862346861729,1.0056654491177925,False,
1,12073.390625,0.8800314664840698,-0.001246136031113565,-0.0037692284677177668,0.9018219853052047,1.013198528615899,False,
2,204196.171875,0.6741921901702881,-0.050387099385261536,-0.0011950770858675241,0.8896203572849058,1.004445454981763,False,
3,5226501.0,1.944016933441162,-0.040596019476652145,-0.005580291152000427,0.8894313775034686,0.9979078512723585,False,
4,31188898.0,2.1279780864715576,0.09040255844593048,0.0060319676995277405,1.098666905682813,1.2106238175129884,False,
5,22827850.0,1.093700885772705,-0.008521598763763905,-0.0026496804784983397,0.9227419932797356,1.0235359721431485,False,
6,283392.125,0.8903648853302002,-0.0002399688382865861,-0.0009913913672789931,0.9018354989092111,1.0126124259566134,False,
7,68287.84375,0.46875855326652527,-0.22457751631736755,0.002658773446455598,0.7059922301394774,0.8195234642605373,False,
8,2334579.25,0.8947485685348511,0.0018644361989572644,-0.0004494847380556166,0.9037475491749892,1.0144080708156666,False,
9,3209.676025390625,0.8940542340278625,-0.00018290677689947188,0.0010652280179783702,0.900594487676101,1.0113076572852788,False,
10,32894.578125,0.8036972284317017,-0.028509410098195076,-0.0072930497117340565,0.8785544822449534,0.9912007196873237,False,
11,6261518.5,0.9324309229850769,0.004197561182081699,-0.0006180484779179096,0.9047691585312586,1.0152122821044192,False,
12,63189.984375,0.890002429485321,-0.00039494072552770376,-0.0010139434598386288,0.9017131281661989,1.0125017681075503,False,
13,369864.78125,0.8997244238853455,0.0016623412957414985,-0.0008946908637881279,0.9044069866456522,1.0152630725850462,False,
14,44820.23828125,0.8943973779678345,-4.836135121877305e-05,6.163259240565822e-05,0.9011826465612411,1.011884134259274,False,
15,202129.265625,0.8815138339996338,-0.00692373514175415,-0.001979776658117771,0.8960849677418983,1.006987651775647,False,
16,4304713.0,0.8947770595550537,1.3155205124348868e-05,-0.00019601875101216137,0.9015121768273076,1.0128383569714614,False,
17,247364.46875,0.8924364447593689,0.0006911359960213304,-0.0006227553822100163,0.9025321466009071,1.0132836589189553,False,
18,40991.98046875,0.5734552145004272,-0.12249099463224411,0.0008426487911492586,0.8124386672434123,0.9274301391483533,False,
19,17285982.0,1.7394988536834717,0.05163657292723656,0.009870401583611965,0.9927347324644201,1.0913515058841088,False,
