dataset,seed,model,hidden_size,hidden_layers,first_omega_0,hidden_omega_0,epochs,batch_size,lr,noise_level,stride_t,stride_x,u_rel_l2,u_rmse,u_max_abs,ux_rel_l2,ux_rmse,ux_max_abs,uxx_rel_l2,uxx_rmse,uxx_max_abs,uxxx_rel_l2,uxxx_rmse,uxxx_max_abs,final_train_loss,min_train_loss,status,error
burgers,0,siren,64,5,30.0,0.5,300,1024,0.001,0.05,1,1,,,,,,,,,,,,,0.0020415496251117143,0.002028474480741554,1,
burgers,1,siren,64,5,30.0,0.5,300,1024,0.001,0.05,1,1,0.019347054798970306,0.014598556896059366,0.05977444213208816,0.10556940575733957,0.10447356812346557,1.159427604936127,0.33602623034472084,1.9154544927431159,56.810879578389404,0.4030561036644678,43.117283744072736,1694.5258733965884,0.0015689230723572628,0.001552460038857091,1,
burgers,2,siren,64,5,30.0,0.5,300,1024,0.001,0.05,1,1,0.02161619712125107,0.010852499642093621,0.05004277873105234,0.08854704812004222,0.06934812622721015,0.661254519343875,0.2687643566307771,1.2199514893337668,18.334930704602854,0.4217874377369983,28.80361305848016,569.1477999630426,0.0007124846553548225,0.0007076924029249875,1,
burgers,0,siren,64,5,30.0,1.0,300,1024,0.001,0.05,1,1,,,,,,,,,,,,,0.0019498264365312126,0.0019300348284314313,1,
burgers,1,siren,64,5,30.0,1.0,300,1024,0.001,0.05,1,1,0.01561884412082745,0.011785389916852728,0.09925458476934862,0.10336443606342914,0.10229148658313338,1.0399712656551472,0.33254037363158573,1.895584020442832,33.70749106729595,0.4782467661545226,51.160871472959684,1729.526506469395,0.0015015746947259657,0.0014853152346664242,1,
burgers,2,siren,64,5,30.0,1.0,300,1024,0.001,0.05,1,1,0.018273653857505328,0.009174362207927606,0.056517946987078904,0.0780674161309494,0.06114070590746011,0.5656323672283223,0.23942557058601768,1.0867794564822564,13.94562159947419,0.4337198362100832,29.618469447571215,506.64312508016906,0.0006837573240599817,0.0006662943744144979,1,
burgers,0,siren,64,5,30.0,2.0,300,1024,0.001,0.05,1,1,,,,,,,,,,,,,0.0019453394167598277,0.0019186173273723513,1,
burgers,1,siren,64,5,30.0,2.0,300,1024,0.001,0.05,1,1,0.017970158290008562,0.013559602789869861,0.0741642783530318,0.17467037002981148,0.17285724658151494,2.5757315155791662,0.8729507029407478,4.976091730028795,172.66450745604644,2.069705544330853,221.4085840910218,8916.014924814894,0.0014777950635771193,0.0014610205100671876,1,
burgers,2,siren,64,5,30.0,2.0,300,1024,0.001,0.05,1,1,0.01905116334834682,0.009564714008651437,0.08022674041291378,0.13427180230603028,0.10515876127739573,1.6181012333636504,0.6107887937156853,2.7724386816123583,53.78221950324507,1.5277304854628788,104.32780548659963,2431.39865445523,0.0006742677078508432,0.0006616326743766429,1,
burgers,0,siren,64,5,30.0,5.0,300,1024,0.001,0.05,1,1,,,,,,,,,,,,,0.0020237954791694408,0.001976918323808128,1,
burgers,1,siren,64,5,30.0,5.0,300,1024,0.001,0.05,1,1,0.020155321421807215,0.015208444364889932,0.10806254581079078,0.27133012355512354,0.2685136469588752,3.314573325850006,1.9149401196098614,10.915756938611189,269.7710296012981,6.9753200810662825,746.1910448859855,28348.316998379323,0.001533614948303217,0.0015194178448014316,1,
burgers,2,siren,64,5,30.0,5.0,300,1024,0.001,0.05,1,1,0.022062133457843577,0.011076383792766405,0.09164515475918042,0.24302113183091098,0.1903288758225118,3.237971184891662,1.9083621464187515,8.662269327290481,159.9628946448258,10.27012351167199,701.3406214280219,20158.25201269627,0.000692158322116094,0.0006858377139054476,1,
burgers,0,siren,64,5,30.0,10.0,300,1024,0.001,0.05,1,1,,,,,,,,,,,,,0.005385659113969831,0.0019324052661272978,1,
burgers,1,siren,64,5,30.0,10.0,300,1024,0.001,0.05,1,1,0.023376205207758682,0.017638801630808783,0.12666893587602637,0.5343629551806445,0.5288161300163439,8.19852910254497,25.950511166169385,147.92602098719004,9367.790845716292,1698.5957579839376,181708.78594221926,22772957.315235175,0.0016372697963748897,0.001598414416158838,1,
burgers,2,siren,64,5,30.0,10.0,300,1024,0.001,0.05,1,1,0.02613112811015627,0.013119239099840354,0.08434070710671451,0.44593875212652195,0.3492495518331671,5.736114904224336,11.545459260530656,52.40613151421805,1408.0090812978133,345.09232289316736,23566.149317763287,1274446.9975111124,0.0007536925767208376,0.0006744432889501608,1,
burgers,0,siren,64,6,30.0,0.5,300,1024,0.001,0.05,1,1,0.024902739720976598,0.02133053336012855,0.25342329618184467,0.14920715106224441,0.34892298798972693,7.828005079571902,0.24358937481352075,12.362757173796602,403.96884025100695,0.8138596861454268,1292.4716552730365,36931.39317790391,0.0021051347407231493,0.0020110087916402827,1,
burgers,1,siren,64,6,30.0,0.5,300,1024,0.001,0.05,1,1,0.017691361799074986,0.01334923348675856,0.08034012211242075,0.11570357755701514,0.11450254460858421,1.1522117772838714,0.38958037201104156,2.2207298313811754,34.502537741453125,0.5111028242846305,54.675677397563526,868.6302758848601,0.0015329719458277973,0.001530105608426744,1,
burgers,2,siren,64,6,30.0,0.5,300,1024,0.001,0.05,1,1,0.02183631869237694,0.010963012571748214,0.04929085300225872,0.10049724061896653,0.07870725762062905,0.6145525752602548,0.32829367065625253,1.490161706993559,16.12856543983802,0.5276488670207017,36.03282705135102,503.62179898648014,0.0007266603522963585,0.0007129237600897868,1,
burgers,0,siren,64,6,30.0,1.0,300,1024,0.001,0.05,1,1,0.018213425071604047,0.01560077627783262,0.17335453193178255,0.16051899212756093,0.37537588489229307,9.727917117532503,0.30190983584138736,15.322663362247336,488.487646565231,1.3505145141824169,2144.720717010314,66806.1690694896,0.0019364974346928417,0.001931973638766933,1,
burgers,1,siren,64,6,30.0,1.0,300,1024,0.001,0.05,1,1,0.01824323352979439,0.013765655052932178,0.1507770645277547,0.1466730964914787,0.14515059195657917,2.042708984925473,0.6114745145077042,3.4855957667654094,79.08180270799592,1.0713659568174159,114.61032231952488,2627.319082023671,0.0014826245476595229,0.0014665959151609548,1,
